#{"t_start": 1620827303.8721921, "env_id": "HalfCheetahPyBulletEnv-v0"}
r,l,t
-8.319824,16,45.2992
-9.113765,16,45.348169
-2.768717,18,45.403022
-2.815698,20,45.464121
-7.295273,16,45.51326
-20.083113,18,45.568248
-5.032267,17,45.620245
-3.551881,17,45.672526
-9.898408,22,45.740213
-12.153858,16,45.789327
1.929415,17,45.84153
-0.438113,19,45.899873
-17.51953,20,45.961164
-11.188099,18,46.016207
0.826684,20,46.077762
-10.159137,17,46.129685
-1.443933,17,46.181919
-1.010193,18,46.237189
-4.637945,18,46.292151
-1.286198,14,46.33519
-7.067397,22,46.403031
-4.032032,16,46.45214
-2.175784,17,46.504238
-11.649073,29,46.592577
4.21132,26,46.672392
-5.886001,18,46.727261
-6.989999,16,46.77611
-5.908244,18,46.831093
-4.014024,21,46.895295
-2.791518,22,46.962905
-2.74028,25,47.039855
-8.820675,14,47.08267
-1.125603,19,47.140955
2.643032,20,47.202431
-4.812048,15,47.248602
0.391279,17,47.301063
-9.962958,18,47.356541
-1.886106,18,47.411992
-10.900066,23,47.482956
-8.723491,20,47.544465
-10.990503,18,47.599567
-7.766133,16,47.648489
1.587196,24,47.721875
-4.001145,18,47.77715
-2.198058,19,47.835652
-5.195439,12,47.872534
1.935679,17,47.924663
-9.72873,22,47.99198
-3.906053,12,48.029049
-13.327047,19,48.087003
4.564616,18,48.142528
-0.192034,18,51.237639
-2.144228,18,51.293655
-10.412032,19,51.351273
-6.125512,15,51.39688
-2.54434,20,51.458775
3.437661,18,51.514352
-5.240324,17,51.566621
-8.367677,17,51.61851
-11.124938,15,51.664317
-2.59312,12,51.700994
-6.779079,19,51.759338
7.570236,30,51.86098
0.998071,18,51.920676
-5.597428,22,51.991668
2.227127,23,52.068118
1.083921,17,52.12474
-5.291128,19,52.184082
-4.260915,19,52.243409
-2.476099,13,52.284203
-20.316217,22,52.353259
-3.910228,18,52.409597
-0.158347,18,52.467987
0.232587,15,52.515281
-3.335344,18,52.572623
-3.335371,20,52.637222
-4.602065,18,52.694694
-5.82255,19,52.756262
-11.408868,24,52.833432
-11.145671,16,52.88563
-5.017752,17,52.942291
-1.887944,20,53.00486
-3.971816,16,53.055068
-1.310445,16,53.105536
-3.793066,18,53.161933
-7.282607,15,53.208832
0.757427,25,53.285389
-7.491455,18,53.347221
2.077267,21,53.412893
2.646596,22,53.483549
-6.47405,16,53.537688
-5.691532,19,53.601333
-2.374902,17,53.654629
-1.880948,24,53.731283
-4.793176,37,53.904767
-10.148666,19,53.9763
-5.357939,19,54.036737
-8.193938,16,54.090182
-3.434743,19,54.151814
0.369472,18,54.207957
-8.366032,20,54.271462
-7.240894,15,54.320043
-7.268361,24,54.395205
5.822225,24,54.469399
-10.797461,19,54.528023
-4.221505,14,54.572687
-4.152637,21,54.638089
-9.238286,21,54.70331
-4.981539,18,54.75856
-4.376451,19,54.817219
-4.028701,21,54.883753
-1.799706,23,54.956092
-11.005697,21,55.021198
-0.499684,17,55.074265
-8.901112,20,55.13796
-1.049144,15,55.182983
-6.786674,17,55.234952
-1.285164,14,55.276952
-1.46881,17,55.328385
-4.67818,16,55.376276
-5.552553,16,55.424037
-6.946343,18,55.477752
1.800427,18,55.531858
-5.63257,16,55.579888
-10.612795,14,55.621706
-7.926701,16,55.669848
0.380352,18,55.723997
-1.962545,19,55.780846
-4.534699,19,55.837581
-5.913122,17,55.888843
-6.342377,15,55.933949
-8.117438,19,55.990603
1.105419,17,56.041898
-1.649429,18,56.095972
9.003667,21,56.15945
2.605626,19,56.21732
-5.478302,20,56.277654
-16.214525,20,56.358063
-7.024898,16,56.418147
-0.582963,16,56.472342
-3.871177,24,56.545655
1.596519,17,56.597231
-5.83245,16,56.663611
-7.713456,22,56.766419
1.113422,21,56.842884
-1.085256,18,56.90219
-2.923797,30,56.999874
0.402065,20,57.064595
-6.111849,18,57.120744
3.660835,20,57.182457
7.538647,19,57.240714
-7.452849,26,57.320068
-8.428383,20,57.387573
-7.839725,18,57.4636
2.949655,27,57.555905
3.258832,21,57.62227
-1.460688,18,57.67891
-5.554543,17,57.733779
-7.244904,18,57.791718
-3.765251,13,57.833004
-4.608602,15,61.00006
-13.441123,20,61.096725
-0.205791,17,61.17359
-2.716057,17,61.237311
-4.62909,11,61.274312
1.168708,19,61.334186
5.886136,26,61.417367
8.440731,23,61.491372
-3.078794,22,61.561525
-1.146174,17,61.614694
-2.259853,20,61.678909
-0.894256,22,61.748568
-3.23003,18,61.805138
-1.938944,27,61.89116
-4.550401,18,61.947699
-4.125318,17,62.002605
-6.504467,13,62.043257
-1.070833,14,62.086926
-4.668782,16,62.136888
-3.39405,19,62.196059
-2.561659,17,62.248977
0.54981,12,62.286336
-4.939408,17,62.339267
-0.901897,16,62.389098
0.303087,18,62.445192
5.618087,18,62.501818
3.237886,18,62.559408
-6.566831,16,62.610998
-16.767921,27,62.696562
-8.798702,17,62.749128
-4.20653,17,62.802159
1.358436,23,62.873356
-1.799351,24,62.948417
0.106392,24,63.023622
-16.719585,38,63.146104
-3.534007,22,63.215172
-4.172628,15,63.26193
-0.11121,15,63.308835
0.102312,16,63.358673
-7.684583,21,63.422409
-5.826315,14,63.464687
-7.06514,14,63.506943
-5.617833,18,63.561845
2.626139,18,63.616943
-2.652067,16,63.665808
3.148149,21,63.72997
-4.737819,18,63.784865
-3.366987,17,63.837037
-1.867534,18,63.893344
2.271029,18,63.949706
3.613073,13,63.990593
1.600501,18,64.047069
2.773216,17,64.099321
-12.297922,19,64.157398
