nupdates,serial_timesteps,clipfrac,v_mix_ev,time_elapsed,gamelenmean,gamescoremean,total_timesteps,approxkl,fps,v_ex_ev,entropy
280,573440,0.4375,0.2703865170478821,4326.923155784607,890.1,1358.44587314,573440,0.04756266623735428,114,0.00606614351272583,-0.5654947757720947
281,575488,0.453125,0.2863914370536804,4343.697822332382,890.1,1361.94841053,575488,0.041972190141677856,122,0.20396262407302856,-0.596643328666687
282,577536,0.484375,0.6146716177463531,4359.236378192902,880.46,1352.7363611399999,577536,0.05762573704123497,131,0.46553146839141846,-0.5856797695159912
283,579584,0.578125,0.2578943967819214,4375.501735448837,880.46,1357.0637785199997,579584,0.05821588635444641,125,-0.019522428512573242,-0.6294993162155151
284,581632,0.375,0.20139682292938232,4390.2434005737305,880.46,1361.1724867699998,581632,0.04855163395404816,138,0.0283697247505188,-0.6403595209121704
285,583680,0.484375,0.2882236838340759,4404.943839550018,880.46,1366.0079705499998,583680,0.03500378131866455,139,-0.0008972883224487305,-0.6762831211090088
286,585728,0.453125,0.7241379618644714,4419.14794588089,852.14,1329.06886185,585728,0.06466613709926605,144,0.6638833582401276,-0.6754505634307861
287,587776,0.375,0.3425220847129822,4433.7509644031525,852.14,1333.2845465199998,587776,0.03258155286312103,140,0.055390119552612305,-0.6841338872909546
288,589824,0.453125,0.2615854740142822,4448.301769256592,852.14,1338.6732312,589824,0.051896654069423676,140,0.08541494607925415,-0.7065762281417847
289,591872,0.4375,0.26933562755584717,4462.555120944977,860.89,1355.49297066,591872,0.040575720369815826,143,0.02205413579940796,-0.7284524440765381
290,593920,0.484375,0.5897079706192017,4476.651009082794,851.69,1345.22752295,593920,0.04235526919364929,145,0.5164029002189636,-0.6963245868682861
291,595968,0.40625,0.7749310582876205,4490.486044883728,843.61,1338.1226839800001,595968,0.0594627819955349,148,0.786953330039978,-0.7026976346969604
292,598016,0.359375,0.26631492376327515,4505.166228055954,843.61,1342.3218332300003,598016,0.042020171880722046,139,0.035576581954956055,-0.7457767724990845
293,600064,0.4375,0.7655316740274429,4519.8171043396,806.16,1287.1144451,600064,0.046294473111629486,139,0.756753534078598,-0.7349503040313721
294,602112,0.421875,0.20597678422927856,4537.658826828003,806.16,1291.68473199,602112,0.04868287593126297,114,-0.001271367073059082,-0.736564040184021
295,604160,0.453125,0.8291576951742172,4553.758363723755,815.08,1308.2902927300001,604160,0.03932024911046028,127,0.7805985361337662,-0.7635122537612915
296,606208,0.4375,0.26855283975601196,4568.583518505096,828.49,1333.7598076900001,606208,0.051324643194675446,138,0.03872948884963989,-0.7874798774719238
297,608256,0.546875,0.6626735329627991,4584.441050767899,828.49,1337.0659409600003,608256,0.051032904535532,129,0.6089098751544952,-0.8041471242904663
298,610304,0.453125,0.702716588973999,4599.282901287079,818.04,1324.80097996,610304,0.05464243143796921,137,0.7103238105773926,-0.8376202583312988
299,612352,0.484375,0.22734826803207397,4613.783025979996,818.04,1328.67626419,612352,0.03723645955324173,141,0.03482598066329956,-0.89143967628479
300,614400,0.4375,0.19280028343200684,4628.520220279694,823.03,1340.6099996000003,614400,0.03963446989655495,138,0.024760186672210693,-0.9208015203475952
301,616448,0.375,0.6599708199501038,4642.940477132797,813.56,1329.73377581,616448,0.03575592115521431,142,0.5807847678661346,-0.9389708042144775
302,618496,0.4375,0.2188246250152588,4657.582311153412,813.56,1333.8259735800002,618496,0.04479694366455078,139,0.009656667709350586,-0.9544811248779297
303,620544,0.4375,0.5650424957275391,4672.067936897278,808.88,1331.0208167200003,620544,0.03847081586718559,141,0.525079071521759,-0.9522256851196289
304,622592,0.484375,0.7435828447341919,4686.82341003418,814.0,1341.7363080700002,622592,0.05911225080490112,138,0.74491748213768,-0.9755582809448242
305,624640,0.53125,0.17133653163909912,4701.231759548187,814.0,1344.60286399,624640,0.07549548149108887,142,0.02491229772567749,-0.9912474155426025
306,626688,0.5,0.6375285685062408,4715.56902551651,814.25,1348.0520391200002,626688,0.07751104235649109,142,0.5893853008747101,-1.0407379865646362
307,628736,0.5,0.21878236532211304,4730.007682085037,823.91,1366.5912190900003,628736,0.06399787962436676,141,0.06239187717437744,-1.0507495403289795
308,630784,0.453125,0.19786065816879272,4744.526736974716,833.57,1386.3499566399998,630784,0.045671381056308746,141,0.12442940473556519,-1.059293270111084
309,632832,0.421875,0.5726042985916138,4759.014122009277,829.91,1383.3615216599999,632832,0.04018809646368027,141,0.47925376892089844,-1.097522258758545
310,634880,0.328125,0.17835086584091187,4774.385355234146,839.62,1402.63072764,634880,0.041555799543857574,133,0.019844353199005127,-1.118545413017273
311,636928,0.46875,0.17128992080688477,4790.3303599357605,839.62,1406.9207677700003,636928,0.039774518460035324,128,0.017279744148254395,-1.1685360670089722
312,638976,0.484375,0.5674361884593964,4805.477388143539,830.0,1394.3807946300003,638976,0.049493953585624695,135,0.5018806755542755,-1.2294834852218628
313,641024,0.546875,0.6197260916233063,4821.524896621704,830.19,1398.1815832099999,641024,0.06090548634529114,127,0.5769208669662476,-1.2405824661254883
314,643072,0.390625,0.17592394351959229,4839.722531795502,830.19,1401.35075176,643072,0.03431016951799393,112,0.04720938205718994,-1.2749474048614502
315,645120,0.5,0.12320601940155029,4856.767436265945,830.19,1404.0236938400003,645120,0.04464545100927353,120,0.021449267864227295,-1.2878426313400269
316,647168,0.5,0.08088517189025879,4876.462182044983,830.19,1406.74395561,647168,0.06035526096820831,103,0.07300716638565063,-1.313372015953064
317,649216,0.375,0.1531485915184021,4894.6438755989075,839.78,1427.20675902,649216,0.02955915406346321,112,0.009199559688568115,-1.353939414024353
318,651264,0.453125,0.620651513338089,4912.77427315712,830.28,1414.2949163100002,651264,0.04988851398229599,112,0.5831111073493958,-1.3848820924758911
319,653312,0.546875,0.15886032581329346,4931.158599853516,830.28,1417.5954679600002,653312,0.07251275330781937,111,-0.004936933517456055,-1.3946728706359863
320,655360,0.640625,0.163860023021698,4950.093042135239,830.28,1421.0043622500002,655360,0.09308367967605591,108,0.049176692962646484,-1.4156055450439453
321,657408,0.484375,0.5618327558040619,4968.685111522675,820.7,1408.13326061,657408,0.06533150374889374,110,0.5223147571086884,-1.4484530687332153
322,659456,0.515625,0.6201700270175934,4985.671854972839,820.85,1410.71071221,659456,0.048811234533786774,120,0.5976980626583099,-1.4671787023544312
323,661504,0.5,0.6797866821289062,5003.0860822200775,801.59,1381.04527892,661504,0.056230880320072174,117,0.6603550314903259,-1.4846655130386353
324,663552,0.46875,0.8613234162330627,5017.852924585342,783.87,1351.7451340599998,663552,0.0673968493938446,138,0.8885868936777115,-1.5027414560317993
325,665600,0.421875,0.087299644947052,5035.409610509872,802.74,1385.9621175300001,665600,0.0445634201169014,116,-0.02517557144165039,-1.500241756439209
326,667648,0.46875,0.6429970860481262,5052.782440662384,792.88,1372.6599438499998,667648,0.059175144881010056,117,0.6441504657268524,-1.5270634889602661
327,669696,0.546875,0.12179559469223022,5071.031018733978,792.88,1375.2904289699998,669696,0.04666896164417267,112,0.0027605295181274414,-1.5437346696853638
328,671744,0.515625,0.4984816908836365,5089.182400465012,783.2,1361.6276921299996,671744,0.05462236329913139,112,0.4965111017227173,-1.5969548225402832
329,673792,0.390625,0.6918699741363525,5107.738614559174,782.85,1361.8361520399997,673792,0.051120955497026443,110,0.6670253872871399,-1.6206594705581665
