#{"t_start": 1620892422.01914, "env_id": "CartPole-v0"}
r,l,t
10.0,10,24.344367
8.0,8,24.359692
10.0,10,24.379388
10.0,10,24.398612
11.0,11,24.420078
9.0,9,24.437517
9.0,9,24.454991
10.0,10,24.47437
9.0,9,24.491617
9.0,9,24.509346
9.0,9,24.527523
11.0,11,24.549459
10.0,10,24.568952
9.0,9,24.586406
10.0,10,24.606081
10.0,10,24.62538
10.0,10,24.644613
10.0,10,24.664182
10.0,10,24.683506
8.0,8,24.699147
9.0,9,24.716476
9.0,9,24.733826
10.0,10,24.753237
9.0,9,24.770623
10.0,10,24.790139
9.0,9,24.807484
10.0,10,24.826724
8.0,8,24.842404
9.0,9,24.859671
9.0,9,24.877251
10.0,10,24.896579
10.0,10,24.916114
9.0,9,24.933496
10.0,10,24.952824
8.0,8,24.968514
9.0,9,24.985987
10.0,10,25.005457
10.0,10,25.024764
9.0,9,25.042381
10.0,10,25.061619
10.0,10,25.08117
10.0,10,25.100431
10.0,10,25.119348
9.0,9,25.136338
9.0,9,25.153362
9.0,9,25.170394
10.0,10,25.189369
10.0,10,25.208258
10.0,10,25.226933
10.0,10,25.246719
9.0,9,25.26443
9.0,9,25.282338
9.0,9,25.299719
9.0,9,25.316741
8.0,8,25.331525
10.0,10,25.350013
8.0,8,25.365475
10.0,10,25.385123
9.0,9,25.401767
10.0,10,25.420261
8.0,8,25.435055
10.0,10,25.453851
8.0,8,25.469232
9.0,9,25.485687
10.0,10,25.504176
10.0,10,25.522487
11.0,11,25.54272
9.0,9,25.559327
9.0,9,25.575798
10.0,10,25.594165
9.0,9,25.610793
9.0,9,25.627425
9.0,9,25.643964
10.0,10,25.662345
11.0,11,25.682563
9.0,9,25.69934
9.0,9,25.715844
9.0,9,25.732351
8.0,8,25.747093
10.0,10,25.765416
8.0,8,25.780189
10.0,10,25.798516
10.0,10,25.816883
9.0,9,25.833369
10.0,10,25.851715
10.0,10,25.870155
8.0,8,25.884778
10.0,10,25.903168
9.0,9,25.919608
10.0,10,25.938072
10.0,10,25.956381
8.0,8,25.971088
8.0,8,25.985731
9.0,9,26.002384
9.0,9,26.018986
9.0,9,26.036551
8.0,8,26.052111
10.0,10,26.070537
10.0,10,26.089028
9.0,9,26.106143
10.0,10,26.125197
8.0,8,26.139983
10.0,10,26.158462
10.0,10,26.176916
9.0,9,26.193809
10.0,10,26.213748
9.0,9,26.230364
9.0,9,26.246895
10.0,10,26.265264
10.0,10,26.283623
10.0,10,26.302095
10.0,10,26.32048
9.0,9,26.337092
8.0,8,26.351802
9.0,9,26.368536
10.0,10,26.388499
9.0,9,26.405797
10.0,10,29.155771
10.0,10,29.175909
10.0,10,29.195659
10.0,10,29.216323
10.0,10,29.236353
11.0,11,29.25728
10.0,10,29.275871
10.0,10,29.294528
9.0,9,29.311321
11.0,11,29.331679
10.0,10,29.350371
10.0,10,29.369199
10.0,10,29.387832
9.0,9,29.404653
9.0,9,29.421469
9.0,9,29.43832
9.0,9,29.455174
10.0,10,29.473643
10.0,10,29.492339
10.0,10,29.511036
10.0,10,29.529532
9.0,9,29.546363
10.0,10,29.564899
9.0,9,29.581607
8.0,8,29.596676
8.0,8,29.611504
9.0,9,29.628278
9.0,9,29.644826
8.0,8,29.659576
9.0,9,29.676286
10.0,10,29.694724
9.0,9,29.711249
10.0,10,29.729488
10.0,10,29.747708
9.0,9,29.764214
9.0,9,29.780643
9.0,9,29.797102
10.0,10,29.815606
8.0,8,29.830542
10.0,10,29.849159
11.0,11,29.869606
10.0,10,29.888281
10.0,10,29.906845
10.0,10,29.925468
9.0,9,29.942277
9.0,9,29.959046
9.0,9,29.975755
9.0,9,29.992577
10.0,10,30.011342
9.0,9,30.028202
10.0,10,30.046795
10.0,10,30.065509
10.0,10,30.084166
11.0,11,30.104643
9.0,9,30.121928
9.0,9,30.139169
9.0,9,30.155995
10.0,10,30.174776
10.0,10,30.193413
10.0,10,30.21258
8.0,8,30.228374
10.0,10,30.247084
9.0,9,30.263832
9.0,9,30.280553
8.0,8,30.295445
9.0,9,30.312111
9.0,9,30.328624
9.0,9,30.34532
9.0,9,30.361962
10.0,10,30.380421
10.0,10,30.398635
8.0,8,30.413243
10.0,10,30.431576
10.0,10,30.44987
8.0,8,30.464394
9.0,9,30.480671
10.0,10,30.49871
9.0,9,30.51498
9.0,9,30.531211
8.0,8,30.545651
9.0,9,30.562311
9.0,9,30.580131
8.0,8,30.594666
9.0,9,30.611078
9.0,9,30.627402
10.0,10,30.645455
9.0,9,30.661821
9.0,9,30.67822
9.0,9,30.694784
9.0,9,30.711298
9.0,9,30.727598
10.0,10,30.745682
9.0,9,30.761972
8.0,8,30.776454
9.0,9,30.792733
9.0,9,30.809043
10.0,10,30.827095
9.0,9,30.84352
10.0,10,30.861666
10.0,10,30.879742
9.0,9,30.896023
8.0,8,30.910515
9.0,9,30.926792
9.0,9,30.943061
8.0,8,30.957563
10.0,10,30.975636
10.0,10,30.993832
8.0,8,31.008569
9.0,9,31.02491
9.0,9,31.041275
8.0,8,31.05593
10.0,10,31.074487
9.0,9,31.091022
8.0,8,31.106146
9.0,9,31.122794
11.0,11,31.14274
10.0,10,31.160946
11.0,11,31.180937
8.0,8,31.195825
8.0,8,31.210675
10.0,10,31.229238
8.0,8,31.243816
10.0,10,31.262014
10.0,10,31.28022
9.0,9,31.296505
10.0,10,31.314591
9.0,9,31.330901
9.0,9,31.347302
8.0,8,31.362106
8.0,8,31.377181
9.0,9,31.393817
9.0,9,31.410284
9.0,9,31.426719
9.0,9,31.443158
10.0,10,31.461373
9.0,9,31.478249
10.0,10,31.49753
9.0,9,31.514541
10.0,10,31.533257
10.0,10,31.551825
10.0,10,31.571611
10.0,10,31.591357
9.0,9,31.608513
9.0,9,31.625436
10.0,10,31.644181
10.0,10,31.663538
11.0,11,31.685395
9.0,9,31.703259
10.0,10,31.723094
10.0,10,31.74294
8.0,8,31.758882
10.0,10,31.778715
9.0,9,31.796572
10.0,10,31.816533
9.0,9,31.834875
9.0,9,31.853655
10.0,10,31.873851
10.0,10,31.894055
10.0,10,31.91441
10.0,10,31.934815
10.0,10,31.95515
8.0,8,31.971257
11.0,11,31.993726
9.0,9,32.011842
10.0,10,32.032064
